KABIR CAPITAL ADVISORS LLP,,,,,,,,,,
"BLOCK E 003 WELKIN PARK 1 10 32 37
PRAKASH NAGAR BEGUMPET SECUNDERABAD 
HYDERABAD - 500016
TELANGANA",,,,,,,,,,
STATEMENT OF DIVIDEND,,,,,,,,,,
From 22/01/2026 To 18/09/2026,,,,,,,,,,
Account : 21010015     RIA  EMMANUEL - KCE015,,,,,,,,,,
KABIR CAPITAL ADVISORS LLP-TWO RULES VALUE FUND,,,,,,,,,,
Ex Date,Received Date,Security,Quantity,Rate/ Amount,Receivable Amount,Received Amount, ,Net Amount,Balance,TDS Amount
31/07/2026,17/08/2026,ALLDIGI TECH LIMITED,686,30.00,"20,580.00","20,580.00", ,"20,580.00",  ,0.00
 , , , , ,"20,580.00","20,580.00", ,"20,580.00",0.00,0.00
16/09/2026, ,Cineline India Ltd,"6,573",1.25,"8,216.25",0.00, ,"8,216.25",  ,0.00
 , , , , ,"8,216.25",0.00, ,"8,216.25","8,216.25",0.00
11/09/2026, ,Edelweiss Financial Services Ltd,"5,156",1.50,"7,734.00",0.00, ,"7,734.00",  ,0.00
 , , , , ,"7,734.00",0.00, ,"7,734.00","7,734.00",0.00
15/07/2026,04/08/2026,HERITAGE FOODS LTD,"1,537",2.50,"3,842.50","3,842.50", ,"3,842.50",  ,0.00
 , , , , ,"3,842.50","3,842.50", ,"3,842.50",0.00,0.00
21/07/2026,12/08/2026,Jaro Institute of Technology Management and Research LTD,825,3.00,"2,475.00","2,475.00", ,"2,475.00",  ,0.00
 , , , , ,"2,475.00","2,475.00", ,"2,475.00",0.00,0.00
27/07/2026,24/08/2026,KCP ltd,"3,657",0.50,"1,828.50","1,828.50", ,"1,828.50",  ,0.00
12/08/2026,28/08/2026,KCP ltd,"3,657",0.50,"1,828.50","1,828.50", ,"1,828.50",  ,0.00
 , , , , ,"3,657.00","3,657.00", ,"3,657.00",0.00,0.00
11/09/2026, ,NCL Industries Limited,483,2.00,966.00,0.00, ,966.00,  ,0.00
 , , , , ,966.00,0.00, ,966.00,966.00,0.00
03/07/2026,22/07/2026,ONWARD TECHNOLOGIES LTD.,"1,620",8.00,"12,960.00","12,960.00", ,"12,960.00",  ,0.00
 , , , , ,"12,960.00","12,960.00", ,"12,960.00",0.00,0.00
24/07/2026,18/08/2026,ORIENT BELL Ltd,"1,759",1.00,"1,759.00","1,759.00", ,"1,759.00",  ,0.00
 , , , , ,"1,759.00","1,759.00", ,"1,759.00",0.00,0.00
29/05/2026,17/06/2026,S Chand and Company Ltd,"1,339",4.00,"5,356.00","5,356.00", ,"5,356.00",  ,0.00
 , , , , ,"5,356.00","5,356.00", ,"5,356.00",0.00,0.00
04/06/2026,12/06/2026,Technocraft Industries India Ltd,144,20.00,"2,880.00","2,880.00", ,"2,880.00",  ,0.00
 , , , , ,"2,880.00","2,880.00", ,"2,880.00",0.00,0.00
, , , , ,"70,425.75","53,509.50", ,"70,425.75","16,916.25",0.00
