STATEMENT OF EXPENSES,,,,,
Account : 21010015 RIA  EMMANUEL - KCE015,,,,,
KABIR CAPITAL ADVISORS LLP-TWO RULES VALUE FUND,,,,,
From 22/01/2026 to 18/09/2026,,,,,
Date,Settlement Date,Tran Ref.,Detail,Desc/Notes,Amount
Expenses - Paid,,,,,
23/01/2026,23/01/2026,,Sec. Tran. Tax,Generated,74.54
29/01/2026,29/01/2026,,Sec. Tran. Tax,Generated,143.41
02/02/2026,02/02/2026,,Sec. Tran. Tax,Generated,499.79
13/02/2026,13/02/2026,,Sec. Tran. Tax,Generated,423.11
16/02/2026,16/02/2026,,Sec. Tran. Tax,Generated,133.31
17/02/2026,17/02/2026,,Sec. Tran. Tax,Generated,326.96
18/02/2026,18/02/2026,,Sec. Tran. Tax,Generated,88.98
19/02/2026,19/02/2026,,Sec. Tran. Tax,Generated,27.75
24/02/2026,24/02/2026,,Sec. Tran. Tax,Generated,220.08
25/02/2026,25/02/2026,,Sec. Tran. Tax,Generated,443.00
27/02/2026,27/02/2026,,Sec. Tran. Tax,Generated,212.23
02/03/2026,02/03/2026,,Sec. Tran. Tax,Generated,31.98
04/03/2026,04/03/2026,,Sec. Tran. Tax,Generated,407.01
05/03/2026,05/03/2026,,Sec. Tran. Tax,Generated,196.53
06/03/2026,06/03/2026,,Sec. Tran. Tax,Generated,168.25
09/03/2026,09/03/2026,,Sec. Tran. Tax,Generated,146.84
10/03/2026,10/03/2026,,Sec. Tran. Tax,Generated,93.80
11/03/2026,11/03/2026,,Sec. Tran. Tax,Generated,322.38
12/03/2026,12/03/2026,,Sec. Tran. Tax,Generated,53.27
13/03/2026,13/03/2026,,Sec. Tran. Tax,Generated,66.59
16/03/2026,16/03/2026,,Sec. Tran. Tax,Generated,279.79
18/03/2026,18/03/2026,,Sec. Tran. Tax,Generated,75.04
19/03/2026,19/03/2026,,Sec. Tran. Tax,Generated,263.76
20/03/2026,20/03/2026,,Sec. Tran. Tax,Generated,295.08
23/03/2026,23/03/2026,,Sec. Tran. Tax,Generated,289.75
24/03/2026,24/03/2026,,Sec. Tran. Tax,Generated,121.15
27/03/2026,27/03/2026,,Sec. Tran. Tax,Generated,49.44
30/03/2026,30/03/2026,,Sec. Tran. Tax,Generated,108.20
01/04/2026,01/04/2026,,Sec. Tran. Tax,Generated,8.06
06/04/2026,06/04/2026,,Sec. Tran. Tax,Generated,12.49
27/04/2026,27/04/2026,,Sec. Tran. Tax,Generated,23.72
28/04/2026,28/04/2026,,Sec. Tran. Tax,Generated,2.93
29/04/2026,29/04/2026,,Sec. Tran. Tax,Generated,70.33
05/05/2026,05/05/2026,,Sec. Tran. Tax,Generated,16.86
06/05/2026,06/05/2026,,Sec. Tran. Tax,Generated,274.18
07/05/2026,07/05/2026,,Sec. Tran. Tax,Generated,67.37
08/05/2026,08/05/2026,,Sec. Tran. Tax,Generated,266.71
15/05/2026,15/05/2026,,Sec. Tran. Tax,Generated,22.66
18/05/2026,18/05/2026,,Sec. Tran. Tax,Generated,93.14
19/05/2026,19/05/2026,,Sec. Tran. Tax,Generated,235.18
20/05/2026,20/05/2026,,Sec. Tran. Tax,Generated,247.67
25/05/2026,25/05/2026,,Sec. Tran. Tax,Generated,47.50
27/05/2026,27/05/2026,,Sec. Tran. Tax,Generated,118.55
29/05/2026,29/05/2026,,Sec. Tran. Tax,Generated,117.08
01/06/2026,01/06/2026,,Sec. Tran. Tax,Generated,199.76
02/06/2026,02/06/2026,,Sec. Tran. Tax,Generated,165.14
03/06/2026,03/06/2026,,Sec. Tran. Tax,Generated,198.90
04/06/2026,04/06/2026,,Sec. Tran. Tax,Generated,64.67
05/06/2026,05/06/2026,,Sec. Tran. Tax,Generated,13.66
09/06/2026,09/06/2026,,Sec. Tran. Tax,Generated,186.04
10/06/2026,10/06/2026,,Sec. Tran. Tax,Generated,132.14
11/06/2026,11/06/2026,,Sec. Tran. Tax,Generated,32.43
12/06/2026,12/06/2026,,Sec. Tran. Tax,Generated,25.47
15/06/2026,15/06/2026,,Sec. Tran. Tax,Generated,19.03
17/06/2026,17/06/2026,,Sec. Tran. Tax,Generated,22.97
19/06/2026,19/06/2026,,Sec. Tran. Tax,Generated,72.04
22/06/2026,22/06/2026,,Sec. Tran. Tax,Generated,21.23
23/06/2026,23/06/2026,,Sec. Tran. Tax,Generated,96.45
24/06/2026,24/06/2026,,Sec. Tran. Tax,Generated,19.09
25/06/2026,25/06/2026,,Sec. Tran. Tax,Generated,185.18
01/07/2026,01/07/2026,,Sec. Tran. Tax,Generated,8.90
02/07/2026,02/07/2026,,Sec. Tran. Tax,Generated,72.03
03/07/2026,03/07/2026,,Sec. Tran. Tax,Generated,23.80
06/07/2026,06/07/2026,,Sec. Tran. Tax,Generated,68.23
08/07/2026,08/07/2026,,Sec. Tran. Tax,Generated,59.66
10/07/2026,10/07/2026,,Sec. Tran. Tax,Generated,125.01
14/07/2026,14/07/2026,,Sec. Tran. Tax,Generated,96.18
15/07/2026,15/07/2026,,Sec. Tran. Tax,Generated,109.52
16/07/2026,16/07/2026,,Sec. Tran. Tax,Generated,177.15
17/07/2026,17/07/2026,,Sec. Tran. Tax,Generated,39.19
20/07/2026,20/07/2026,,Sec. Tran. Tax,Generated,54.37
21/07/2026,21/07/2026,,Sec. Tran. Tax,Generated,40.20
22/07/2026,22/07/2026,,Sec. Tran. Tax,Generated,101.07
23/07/2026,23/07/2026,,Sec. Tran. Tax,Generated,66.01
28/07/2026,28/07/2026,,Sec. Tran. Tax,Generated,35.77
29/07/2026,29/07/2026,,Sec. Tran. Tax,Generated,115.40
31/07/2026,31/07/2026,,Sec. Tran. Tax,Generated,200.94
26/08/2026,26/08/2026,,Sec. Tran. Tax,Generated,49.97
07/09/2026,07/09/2026,,Sec. Tran. Tax,Generated,36.95
Total Expenses - Paid,,,,,"10,121.00"
Expenses - Payable,,,,,
30/06/2026,,,Custody Charges,Custody Fee For MAY 2026,244.57
30/06/2026,,,Custody Charges,Custody Fee For June 2026,278.62
30/06/2026,,,Fund Accountant Fees,FA Fee From 01052026 to 30062026,322.89
Total Expenses - Payable,,,,,846.07
Total,,,,,"10,967.07"
