PORTFOLIO POSITION ANALYSIS,,,,
Account : 21010015 RIA  EMMANUEL - KCE015,,,,
KABIR CAPITAL ADVISORS LLP-TWO RULES VALUE FUND,,,,
As of 18/09/2026,,,,
Asset Class Distribution,,,,
,Description,Market Value,% Assets,
,Equity,"11,212,677",100.00%,
,Cash and Equivalent,549,0.00%,
,,"11,213,226",100.00%,
,,,,Page 1
Portfolio Summary by Asset Type,,,,,,,,
,Total Cost,Income,Market Value,Unrealized Gain/Loss,Total Gain/Loss,Absolute Yield %,Annualized Yield %,% Assets
Equity,,,,,,,,
Listed,"10,124,001","70,426","11,212,677","1,071,760","1,142,186",11.28%,24.42%,100.00%
,"10,124,001","70,426","11,212,677","1,071,760","1,142,186",11.28%,24.42%,100.00%
Cash and Equivalent,,,,,,,,
Bank Account,549,0,549,0,0,0.00%,0.00%,0.00%
,549,0,549,0,0,0.00%,0.00%,0.00%
,"10,124,550","70,426","11,213,226","1,071,760","1,142,186",11.28%,24.41%,100.00%
Security,Quantity,Total Cost,Avg Days,Income,Market Price,Market Value,Unrealized Gain/Loss,Total Gain/Loss,Absolute Yield %,Annualized Yield %,% Assets
,,,,,,Accrued Income,,,,,
Equity,,,,,,,,,,,
Listed,,,,,,,,,,,
ALLDIGI TECH LIMITED,686.000,"552,676",206,"20,580",776.30,"532,542","-20,134",446,0.08%,0.14%,4.75%
Awfis Space Solutions Limited,"1,624.000","436,201",191,0,275.75,"447,818","11,617","11,617",2.66%,5.10%,3.99%
Capacite Infraprojects Ltd,"2,138.000","509,044",126,0,195.71,"418,428","-90,616","-90,616",-17.80%,-51.62%,3.73%
Cineline India Ltd,"6,573.000","580,672",197,"8,216",90.36,"593,936","13,264","21,480",3.70%,6.84%,5.37%
,,,,,,"8,216",,,,,
Edelweiss Financial Services Ltd,"5,156.000","541,018",201,"7,734",136.25,"702,505","161,487","169,221",31.28%,56.92%,6.33%
,,,,,,"7,734",,,,,
HERITAGE FOODS LTD,"1,537.000","499,964",112,"3,842",418.10,"642,620","142,656","146,498",29.30%,95.35%,5.73%
Hindustan Construction Co.Ltd,"29,627.000","519,523",207,0,21.77,"644,980","125,457","125,457",24.15%,42.59%,5.75%
Jaro Institute of Technology Management and Research LTD,984.000,"497,117",68,"2,475",465.40,"457,954","-39,163","-36,688",-7.38%,-39.87%,4.08%
KCP ltd,"3,657.000","549,158",192,"3,657",161.95,"592,251","43,093","46,750",8.51%,16.20%,5.28%
Kamat Hotels India Ltd,937.000,"156,564",49,0,229.30,"214,854","58,291","58,291",37.23%,277.33%,1.92%
Kaveri Seed Company Ltd,283.000,"225,220",199,0,696.35,"197,067","-28,153","-28,153",-12.50%,-22.97%,1.76%
Monte Carlo Fashions Ltd,90.000,"47,816",51,0,553.05,"49,774","1,959","1,959",4.10%,29.32%,0.44%
NCL Industries Limited,483.000,"86,966",18,966,174.66,"84,361","-2,606","-1,640",-1.89%,-38.54%,0.76%
,,,,,,966,,,,,
NUVOCO VISTAS CORPORATION LIMITED,"1,332.000","405,448",108,0,328.60,"437,695","32,247","32,247",7.95%,26.82%,3.90%
ONWARD TECHNOLOGIES LTD.,"1,820.000","499,752",189,"12,960",287.20,"522,704","22,952","35,912",7.19%,13.85%,4.66%
ORIENT BELL Ltd,"1,759.000","475,353",167,"1,759",393.25,"691,727","216,373","218,132",45.89%,100.00%,6.17%
P.E. Analytics Limited,"3,600.000","678,894",193,0,192.00,"691,200","12,306","12,306",1.81%,3.43%,6.16%
PNGS REVA DIAMOND JEWELLERY LIMITED,"1,412.000","546,475",,0,495.75,"699,999","153,524","153,524",28.09%,115.84%,6.24%
RPSG VENTURES LTD,656.000,"431,268",208,0,843.45,"553,303","122,035","122,035",28.30%,49.66%,4.93%
Religare Enterprises Ltd,"2,197.000","498,936",128,0,253.02,"555,885","56,949","56,949",11.41%,32.46%,4.96%
S Chand and Company Ltd,"3,364.000","541,839",113,"5,356",133.87,"450,339","-91,500","-86,144",-15.90%,-51.32%,4.02%
TRUE COLORS LIMITED,"1,200.000","165,871",104,0,152.00,"182,400","16,529","16,529",9.97%,34.97%,1.63%
TeamLease Services Ltd,196.000,"255,655",54,0,"1,219.00","238,924","-16,731","-16,731",-6.54%,-44.04%,2.13%
Technocraft Industries India Ltd,194.000,"422,571",164,"2,880","3,054.10","592,495","169,925","172,805",40.89%,90.77%,5.28%
Total : Listed,,"10,124,001",,"70,426",,"11,212,677","1,071,760","1,142,186",11.28%,24.42%,100.00%
Total : Equity,,"10,124,001",,"70,426",,"11,212,677","1,071,760","1,142,186",11.28%,24.42%,100.00%
Cash and Equivalent,,,,,,,,,,,
Bank Account,,,,,,,,,,,
Cash,"1,394.982","1,395",,0,0.00,"1,395",0,0,0.00%,0.00%,0.01%
Security,Quantity,Total Cost,Avg Days,Income,Market Price,Market Value,Unrealized Gain/Loss,Total Gain/Loss,Absolute Yield %,Annualized Yield %,% Assets
,,,,,,Accrued Income,,,,,
Cash Rec/Payable,-846.073,-846,,0,-0.00,-846,0,0,-0.00%,-0.00%,-0.01%
Total : Bank Account,,549,,0,,549,0,0,0.00%,0.00%,0.00%
Total : Cash and Equivalent,,549,,0,,549,0,0,0.00%,0.00%,0.00%
,,"10,124,550",,"70,426",,"11,213,226","1,071,760","1,142,186",11.28%,24.41%,100.00%
